Coin,TotalTrades,TotalPnL,AveragePnL,MedianPnL,MaximumPnL,MinimumPnL,TotalVolumeUSD,AverageTradeSize,WinRate,UniqueTraders
@107,27385,2776897.534575,101.40213746850465,0.0,44223.45187,-31036.69194,53790832.05,1964.244369180208,47.85101332846449,27
HYPE,62446,1911331.064492,30.6077421210646,0.0,68959.00212,-21333.46888,132807325.42,2126.7547228004996,41.73686064759953,20
ETH,10862,1431097.422445,131.75266271819186,0.0,135329.0901,-117990.1041,115066808.68,10593.519488123735,36.392929478917324,21
SOL,8523,1371096.312809,160.87015285803122,0.0,71535.71674,-35681.74723,86945209.15,10201.244767100787,39.411005514490206,19
BTC,20135,659311.3120639999,32.74453995848025,0.0,19530.5225,-29370.1198,401625802.14,19946.65021802831,34.83486466352123,22
MELANIA,3322,316800.569532,95.36440985310054,0.0,8143.080742,-8733.392528,5637548.21,1697.0343798916315,33.59422034918724,9
ENA,990,217329.503554,219.52475106464647,0.0,21125.35262,-3852.37259,1625400.5,1641.8186868686869,31.313131313131315,4
SUI,1847,198683.219421,107.57077391499729,0.0,10512.44,-127.698798,7628904.46,4130.430135354629,44.07146724417975,6
ZRO,1239,183777.783689,148.3275090306699,0.0,18282.19011,-51.167025,1213825.42,979.6815334947538,36.72316384180791,5
DOGE,826,147543.156534,178.6236761912833,0.0,48504.09555,-815.648519,2452103.46,2968.6482566585955,48.6682808716707,10
BERA,1050,79782.246587,75.98309198761905,0.37393200000000004,7082.745948,-24500.0,2048113.5,1950.5842857142857,51.8095238095238,10
PURR/USDC,2769,75215.974289,27.16358768111232,0.0,6672.970248,-6169.375076,1642227.68,593.0760852293247,35.53629469122427,11
USUAL,598,69631.943237,116.44137665050167,1.0063849999999999,10293.2433,-520.4694,962189.37,1609.0123244147157,54.0133779264214,6
EIGEN,330,65030.852352,197.06318894545456,0.0,13901.79413,-102.485175,417781.52999999997,1266.0046363636363,27.878787878787882,6
TRUMP,1323,58707.766254,44.374728839002266,0.0,6764.2252,-7540.212,5135718.61,3881.8734769463344,41.118669690098265,11
AVAX,193,48255.07783,250.02631000000002,0.00035,8605.154778,-18.320832,394720.81,2045.1855440414508,50.259067357512954,6
JUP,639,46553.502402,72.85368138028169,0.0,5848.435718,-36.3701,1491625.5,2334.31220657277,46.009389671361504,5
ETHFI,311,43929.006074,141.2508233890675,0.0,4908.891554,0.0,769716.13,2474.9714790996786,39.87138263665595,1
kBONK,866,41568.759061,48.00087651385681,5.204682,1447.848675,-79.926516,2472548.7,2855.137066974596,66.62817551963049,4
JELLY,992,35193.716244,35.47753653629032,12.481434,2921.81436,-148.790063,2193971.31,2211.664627016129,80.94758064516128,1
