Direction,TotalTrades,TotalPnL,AveragePnL,MedianPnL,MaximumPnL,MinimumPnL,TotalTradeVolume,AverageTradeSize,WinRate
Auto-Deleveraging,8,57478.456026,7184.80700325,5237.9855575,18282.19011,1134.709485,169507.75,21188.46875,100.0
Buy,14657,0.0,0.0,0.0,0.0,0.0,29515811.73,2013.7689656819268,0.0
Close Long,44935,3109116.859922,69.19142895119617,6.708,68959.00212,-24500.0,263468987.74,5863.335656837655,87.73116724157116
Close Short,28091,4159132.516132,148.05925442782384,6.793628,135329.0901,-117990.1041,141291376.41,5029.773821152682,83.67448649033498
Long > Short,54,1963.5646330000002,36.36230801851852,0.11499300000000001,1169.859383,-1132.414263,860630.21,15937.596481481482,72.22222222222221
Open Long,45564,0.0,0.0,0.0,0.0,0.0,268644300.89,5895.977106707049,0.0
Open Short,32861,0.0,0.0,0.0,0.0,0.0,147990444.74,4503.528338760233,0.0
Sell,17890,2885395.450471,161.2853801269424,7.52256,44223.45187,-31036.69194,28020677.92,1566.276015651202,80.62045835662381
Settlement,1,-29.215368,-29.215368,-29.215368,-29.215368,-29.215368,782.83,782.83,0.0
Short > Long,65,12191.963985999997,187.56867670769225,14.08063,11090.4965,-17742.21655,949624.3,14609.604615384616,89.23076923076924
Spot Dust Conversion,137,0.0,0.0,0.0,0.0,0.0,24.91,0.18182481751824817,0.0
