Account,TotalTrades,TotalPnL,AveragePnL,MedianPnL,MaximumPnL,MinimumPnL,TotalVolumeUSD,AverageTradeSize,WinRate,UniqueCoins,PerformanceScore
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,14410,2040922.426049,141.6323682199167,0.0,48504.09555,-5028.066368,55900950.94,3879.316512144344,34.073560027758504,69,1020769.5808246387
0x083384f897ee0f19899168e3b1bec365f52a9012,3818,1600229.819979,419.1277684596647,0.0,135329.0901,-117990.1041,61697263.97,16159.57673389209,35.961236249345205,2,800298.7161707467
0xbaaaf6571ab7d571043ff1e313a9609a10637864,21190,940157.212682,44.36796662019821,0.0,68959.00212,-5.444032,68036326.2,3210.7751864086836,46.753185464841906,3,470318.3722683242
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,36534,811182.978768,22.20350847889637,0.0,22883.51252,-22634.46345,68055693.56,1862.8043345924345,43.47457163190453,16,405840.86224215955
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,4134,674403.995032,163.13594461344945,0.0,16305.57609,-6169.375076,37017401.44,8954.378674407353,48.86308659893566,11,337468.3129489947
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,1134,425815.195065,375.49840834656084,0.0,74530.52371,-35681.74723,10842259.34,9561.075255731923,45.326278659611994,4,213142.22892579806
0x430f09841d65beb3f27765503d0f850b8bce7713,1051,416541.872341,396.329088811608,21.26566,29999.90625,0.0,2712102.36,2580.497012369172,56.99333967649858,20,208595.9028688825
0x513b8629fe877bb581bf244e326a047b249c4ff1,6000,403501.648209,67.2502747015,0.0,19530.5225,-29370.1198,164242111.22,27373.685203333334,40.016666666666666,4,201958.90743783335
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,1358,393683.014159,289.89912677393227,0.0,27223.7415,-3852.37259,2959751.83,2179.4932474226803,28.276877761413843,26,197034.89146830706
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,8948,361576.6227,40.408652514528384,8.3064975,5949.806984,-5843.04,24657252.26,2755.616032632991,80.93428699150648,91,181374.98278495754
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,2478,337113.657216,136.04263810169493,0.0,32783.52937,-24500.0,18645667.53,7524.482457627119,34.866828087167065,26,168783.16274843583
0x4f93fead39b70a1824f981a54d4e55b278e9f760,7479,301287.891529,40.28451551397246,0.0,8098.26873,-21524.4,127825348.87,17091.235308196283,35.847038374114184,24,150871.18095637058
0x420ab45e0bd8863569a5efbb9c05d91f40624641,383,199505.592732,520.9023308929503,0.0,25997.375,0.0,1987527.6099999999,5189.367127937337,23.49869451697128,10,99890.28983858485
0x8170715b3b381dffb7062c0298972d4727a0a63b,3071,196303.792847,63.92178210582872,0.0,8143.080742,-8733.392528,6910177.08,2250.1390687072617,28.622598502116574,7,98309.00941601058
0x2c229d22b100a7beb69122eed721cee9b24011dd,3234,168627.984054,52.142233782931356,0.43227499999999996,6608.942866,-996.7456,10164169.56,3142.909573283859,51.978973407544835,47,84667.88689403773
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,13266,132315.481685,9.974029977762703,0.0,4396.862703,-7784.162915,6752612.92,509.01650233680084,43.81124679632143,94,66564.79707648161
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,2804,109197.778134,38.943572800998574,0.0,3051.64902,-103.55,9260517.98,3302.609835948645,30.920114122681884,7,54767.489637613406
0x6d6a4b953f202f8df5bed40692e7fd865318264a,822,108518.614902,132.01777968613138,0.0,9503.355131,-60.5786,641060.49,779.8789416058394,49.148418491484186,13,54531.04954345742
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,8340,101965.643134,12.226096299040767,0.0,2077.855821,-1388.851115,4342810.02,520.7206258992805,35.33573141486811,68,51295.50022407434
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,13485,89495.522896,6.636672072376714,0.0,2148.534516,-7104.920076,17628001.73,1307.2303841305154,35.083426028921025,13,44949.1785781446
0x8477e447846c758f5a675856001ea72298fd9cb5,11216,77110.578772,6.875051602353779,0.0,2766.443472,-2806.5,9114660.57,812.6480536733238,31.624465049928673,94,38901.41171124964
